PP-野牛 | 阿努比斯之审判 (崭新出厂):0.07608365:71.99:66.9
FN57 | 表面淬火 (久经沙场):0.11856821:44.7:50
AK-47 | 可燃冰 (战痕累累):0.06804238:57.45:53.79
FN57 | 表面淬火 (崭新出厂):0.086767636:107.59:99
M4A4 | 战场之星 (略有磨损):0.06523531:38.7:36.33
MP9 | 爆裂食物链 (略有磨损):0.09865475:24.5:22.3
M4A1 消音型 | 暴怒野兽 (略有磨损):0.07305936:235:219
格洛克 18 型 | 零食派对 (略有磨损):0.08633506:38:34.98
M4A4 | 沙漠精英 (略有磨损):0.19600004:35.88:30
格洛克 18 型 | 核子花园 (崭新出厂):0.07001676:63.88:59.7
AK-47 | 皇后 (崭新出厂):0.06466781:608.99:572
指挥官黛维达·费尔南德斯（护目镜） | 海豹蛙人:0.060418632:227.99:215
AK-47 | 安全网 (略有磨损):0.0951451:44.89:40.99
法玛斯 | 机械工业 (崭新出厂):0.069879554:44.4:41.5
M4A1 消音型 | 女火神之炽焰 (略有 磨损):0.061624754:236.53:222.8
CZ75 | 翡翠色调 (崭新出厂):0.062025335:83.9:79
PP-野牛 | 阿努比斯之审判 (久经沙场):0.10659587:35.4:31.99
M4A4 | 死寂空间 (略有磨损):0.069026574:60.4:56.5
M4A4 | 死寂空间 (崭新出厂):0.06573422:152.4:143
中队长鲁沙尔·勒库托 | 法国宪兵特勤队:0.09394572:52.4:47.9
截短霰弹枪 | 么么 (略有磨损):0.107394405:62.9:56.8
AUG | 动量 (略有磨损):0.09456795:44.33:40.5
AUG | 湖怪鸟 (略有磨损):0.09560438:19.94:18.2
音乐盒 | Feed Me - 如日中天:0.06:25:26.5
AK-47 | 巴洛克之紫 (久经沙场):0.06790352:28.78:26.95
M4A4 | 黑色魅影 (破损不堪):0.104811035:32.15:29.1
M4A1 消音型 | 翼蜥 (崭新出厂):0.11604655:47.99:43
AK-47 | 卡特尔 (崭新出厂):0.06666667:96:90
音乐盒 | Midnight Riders - 圣诞之欲:0.14:28.5:25
双持贝瑞塔 | 瓜瓜 (略有磨损):0.095667854:30.35:27.7
印花 | 蓝钻（闪耀）:0.061238922:28.25:29.98
USP 消音版 | 不锈钢 (略有磨损):0.14634146:47:41
AWP | 精英之作 (崭新出厂):0.07188396:159.7:148.99
FN57 | 蓝莓樱桃 (崭新出 厂):0.0880358:179.7:165.16
印花 | FURIA （全息） | 2021年斯德哥尔摩锦标赛:0.11219508:45.6:41
格洛克 18 型 | 子弹皇后 (战痕累累):0.074585654:36.2:38.9
印花 | Natus Vincere（金色）| 2020 RMR:0.080292:29.6:27.4
法玛斯 | 目皆转睛 (崭新出厂):0.07963638:59.38:55
M4A4 | 弹雨 (略有磨损):0.07809521:113.2:105
AK-47 | 幻影破坏者 (崭新出厂):0.11791047:74.9:67
印花 | 液燃剂（闪亮）:0.13682503:84:73.89
AK-47 | 荒野反叛 (久经沙场):0.06638155:162.09:152
MAC-10 | 凝视之眼 (略有磨损):0.12949994:67.77:60
USP 消音版 | 紫色 DDPAT (崭新出厂):0.10056337:39.07:35.5
电竞 2014 夏季武器箱:0.07936508:34:31.5
印花 | 巨龙传说 (闪亮):0.07736624:134.66:124.99
M4A4 | X 射线 (略有磨损):0.08625002:86.9:80
UMP-45 | 野蛮剑齿虎 (略有磨损):0.1075515:24.2:21.85
MP9 | 九头蛇 (略有磨损):0.07954545:47.5:44
MP9 | 星使 (战痕累累):0.1748634:25.8:21.96
野火胸章:0.06666667:32:30
M4A4 | 黑色魅影 (战痕累累):0.16032384:28.66:24.7
安特卫普 2022 炙热沙城 II 纪念包:0.137:45.48:40
MP9 | 爆裂食物链 (崭新出厂):0.164898:57.08:49
AK-47 | 轨道 Mk01 (略有磨损):0.1268571:78.88:70
AK-47 | 巴洛克之紫 (略有磨损):0.11428573:34.32:30.8
内格夫 | 动力装载机 (崭新出厂):0.099526055:34.8:31.65
USP 消音版 | 蓝图 (崭新出厂):0.12643678:196:174
MAC-10 | 表面淬火 (略有磨损):0.065155804:188:176.5
M4A4 | 合纵 (破损不堪):0.070866145:68:63.5
M4A4 | 全球攻势 (崭新出厂):0.07817582:33.1:30.7
M4A4 | 战场之星 (崭新出厂):0.12307692:73:65
USP 消音版 | 银装素裹 (崭新出厂):0.07272727:590:550
格洛克 18 型 | 核子反应 (久经沙场):0.08833338:32.65:30
SG 553 | 次时代 (久经沙场):0.062499955:28.9:27.2
Tec-9 | 坍雪寒裘 (崭新出厂):0.060747717:22.7:21.4
法玛斯 | 防滚架 (略有磨损):0.06418443:38.3:35.99
AK-47 | 复古浪潮 (崭新出厂):0.12547731:61.89:54.99
格洛克 18 型 | 核子反应 (崭新出厂):0.16551265:70.7:60.66
斯德哥尔摩 2021 炙热沙城 II 纪念包:0.103571415:30.9:28
M4A4 | 沙漠精英 (崭新出厂):0.13541667:54.5:48
印花 | 笨香蕉（闪亮）:0.140625:365:320
加利尔 AR | 渐变琥珀 (崭新出厂):0.07500005:34.4:32
印花 | Natus Vincere（金色）| 2022年安特卫普锦标赛:0.17059599:88.38:75.5
法玛斯 | 残影 (崭新出厂):0.11716719:327.33:293
格洛克 18 型 | 核子反应 (略有磨损):0.07341776:42.4:39.5
SG 553 | 红苹果 (崭新出厂):0.07638892:28.8:31
印花 | λ（全息）:0.15268454:34.35:29.8
反恐精英 2 号武器箱:0.07657652:47.8:44.4
印花 | Cloud9（全息）| 2022年安特卫普锦标赛:0.15039334:198.88:172.88
